 , C0, C1, C2, C3, C4, C5, C6
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted
19.692514, 0.1886638, 0.0009091781, 0.006679126, 0.001579106, 0.002950103, 0.06909076, 0.01259266
19.792476, 0.1902644, 0.0008521033, 0.006279629, 0.0015068, 0.00280009, 0.07466776, 0.01685995
19.892438, 0.1830604, 0.0007986116, 0.005904027, 0.001437805, 0.002657705, 0.07090741, 0.01573182
19.9924, 0.1784286, 0.005705363, 0.005550891, 0.001371969, 0.00252256, 0.07878971, 0.01783022
20.092362, 0.1940748, 0.005347203, 0.009460616, 0.001309148, 0.0246576, 0.0786587, 0.01993171
20.192324, 0.1970772, 0.007345605, 0.01879684, 0.008108545, 0.02340376, 0.07469738, 0.02298107
20.292286, 0.1975427, 0.01100655, 0.02170177, 0.009981991, 0.02221367, 0.07093554, 0.02623353
20.392248, 0.1927254, 0.01103309, 0.02740629, 0.009524924, 0.0210841, 0.06736316, 0.02602409
20.49221, 0.1860437, 0.01034048, 0.02576705, 0.009088785, 0.02001197, 0.06397069, 0.02428278
20.592172, 0.1781117, 0.009691345, 0.02422585, 0.008672617, 0.01899436, 0.06074906, 0.02265798
20.692134, 0.1893206, 0.01310841, 0.02728226, 0.008275505, 0.0180285, 0.05768968, 0.02248536
20.792096, 0.1833582, 0.01228551, 0.02565043, 0.008807185, 0.01711174, 0.05478437, 0.02216006
20.892058, 0.1881814, 0.01151427, 0.02704047, 0.008403911, 0.01624161, 0.05618647, 0.03231527
20.99202, 0.1839589, 0.01079145, 0.0254231, 0.008602497, 0.01541572, 0.05436244, 0.030153
21.091982, 0.1830988, 0.01011401, 0.02390248, 0.009901077, 0.01463183, 0.05331713, 0.02813542
21.191944, 0.1791224, 0.009479088, 0.02247281, 0.009447715, 0.0138878, 0.05101157, 0.02625283
21.291906, 0.1752881, 0.008884027, 0.02112865, 0.009015112, 0.0131816, 0.0511294, 0.02449621
21.391868, 0.180615, 0.008326322, 0.01986488, 0.008602317, 0.01251132, 0.04855447, 0.02473425
21.49183, 0.1944164, 0.007803627, 0.01867671, 0.008208425, 0.01187511, 0.04610923, 0.02307924
21.591792, 0.1970307, 0.007313746, 0.02117339, 0.007832568, 0.01127126, 0.04378712, 0.02515232
21.691754, 0.195264, 0.006854617, 0.02084263, 0.007473921, 0.01069812, 0.04158195, 0.02346933
21.791716, 0.2146051, 0.006424311, 0.01959598, 0.008766085, 0.01015412, 0.03948785, 0.02888565
21.891678, 0.2230505, 0.006021017, 0.01842389, 0.008364693, 0.009637778, 0.0374992, 0.02943529
21.99164, 0.2290374, 0.005643041, 0.02014919, 0.00798168, 0.009147695, 0.0356107, 0.02746572
22.091602, 0.2192723, 0.008658102, 0.01894401, 0.007616206, 0.008682533, 0.03381731, 0.02562795
22.191564, 0.239918, 0.01489965, 0.02037773, 0.01073408, 0.01361681, 0.03447044, 0.0261387
22.291526, 0.2459917, 0.0139643, 0.02510199, 0.01024258, 0.01491516, 0.03273448, 0.02438972
22.391488, 0.2429696, 0.01308768, 0.02551867, 0.009773578, 0.01415672, 0.03108594, 0.02275776
22.49145, 0.2367173, 0.01226609, 0.02399233, 0.009326054, 0.01551294, 0.02952042, 0.02475545
22.591412, 0.2282116, 0.01149607, 0.0251596, 0.008899021, 0.0147241, 0.02803374, 0.02309902
22.691374, 0.2210794, 0.01077439, 0.02365474, 0.008491542, 0.01397538, 0.02662193, 0.02155343
22.791336, 0.2151221, 0.01009801, 0.02503698, 0.008102722, 0.01326473, 0.03046837, 0.02091884
22.891298, 0.2099257, 0.0094641, 0.02353945, 0.007731705, 0.01426754, 0.03256977, 0.01951912
22.99126, 0.2058702, 0.00886998, 0.02213149, 0.007377676, 0.01544798, 0.03383314, 0.01821307
23.091222, 0.2073064, 0.008313158, 0.02080774, 0.007039858, 0.01744866, 0.03692321, 0.01961209
23.191184, 0.1984678, 0.00779129, 0.01956318, 0.006717509, 0.0199892, 0.03711725, 0.01829981
23.291146, 0.1945325, 0.007302183, 0.01839305, 0.00640992, 0.01952413, 0.03896963, 0.01862284
23.391108, 0.2003738, 0.00684378, 0.01729291, 0.006116415, 0.02474186, 0.03700708, 0.01737676
23.49107, 0.215937, 0.006414154, 0.01625858, 0.005836349, 0.02348373, 0.04013166, 0.01621405
23.591032, 0.2067304, 0.006011498, 0.01528611, 0.005569108, 0.02228958, 0.03811059, 0.01512914
23.690994, 0.2142346, 0.005634119, 0.0143718, 0.005314103, 0.02115615, 0.03716188, 0.01411683
23.790956, 0.2062145, 0.00528043, 0.01351219, 0.005070774, 0.02008036, 0.03529038, 0.01433005
23.890918, 0.2055449, 0.004948945, 0.01270398, 0.004838588, 0.01905927, 0.03477335, 0.01353151
23.99088, 0.2055058, 0.00463827, 0.01194413, 0.004617033, 0.0180901, 0.03302213, 0.01262609
24.090842, 0.2063145, 0.004347097, 0.01122971, 0.004405622, 0.01717022, 0.0313591, 0.01178126
24.190804, 0.2076094, 0.0129094, 0.02486102, 0.004203892, 0.01629711, 0.02977983, 0.01099296
24.290766, 0.2129285, 0.012099, 0.03191711, 0.008124268, 0.0154684, 0.02828008, 0.0102574
24.390728, 0.2100702, 0.01133947, 0.03000806, 0.007752264, 0.01468183, 0.02685587, 0.009571061
24.49069, 0.2072652, 0.01062763, 0.0282132, 0.007397294, 0.01393526, 0.02550339, 0.008930645
24.590652, 0.1999604, 0.009960464, 0.02652569, 0.007058578, 0.01322665, 0.02421901, 0.00833308
24.690614, 0.1963888, 0.009335184, 0.02493912, 0.006735371, 0.01255407, 0.02299932, 0.0077755
24.790576, 0.1945324, 0.008749157, 0.02344744, 0.006426964, 0.01191569, 0.02512626, 0.007255229
24.890538, 0.1891106, 0.008199919, 0.02204498, 0.006132679, 0.01130978, 0.0270085, 0.00676977
24.9905, 0.1849243, 0.00768516, 0.02072641, 0.005851869, 0.01073468, 0.02837585, 0.006316794
