 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
12.795136, 54.77923, 0.5014727, 5.888775, 6.048624, 4.547254, 0.1578027, 1.467045, 2.391299, 0.6994981, 12.4006, 0.3406605, 4.73456, 0.7717341
12.895098, 56.49775, 0.4788846, 5.595563, 7.818856, 4.325976, 0.1500154, 1.403706, 2.275888, 0.6626762, 11.80283, 0.3204691, 4.480602, 0.733944
12.99506, 54.08093, 0.457314, 5.31695, 7.39593, 5.62401, 0.1426124, 1.343101, 2.166047, 0.6277926, 11.23387, 0.3014744, 4.240266, 0.6980044
13.095022, 51.76749, 0.436715, 5.05221, 6.99588, 6.024682, 0.1355747, 1.285113, 2.061507, 0.5947453, 13.38598, 0.2836056, 4.846715, 0.6638247
13.194984, 49.55301, 0.4170439, 4.800652, 6.617469, 6.29199, 0.1288843, 1.229628, 1.962013, 0.5634376, 12.74071, 0.2667959, 4.586741, 0.6313187
13.294946, 47.43327, 0.3982588, 4.561618, 6.259526, 6.825929, 0.122524, 1.176539, 1.86732, 0.5337781, 12.12654, 0.2509825, 4.340712, 0.6004044
13.394908, 45.40419, 0.3803199, 4.334487, 5.920945, 6.979831, 0.1164777, 2.689345, 1.777198, 0.5056797, 11.54198, 0.2361064, 4.10788, 0.571004
13.49487, 43.46192, 0.363189, 4.118666, 5.600677, 6.64018, 0.1107297, 2.908748, 1.691425, 0.4790606, 13.73325, 3.522395, 3.887537, 0.5430431
13.594832, 41.60274, 0.3468297, 3.91359, 6.816073, 7.09429, 0.1052653, 2.783163, 1.609792, 0.4538426, 15.14991, 3.313617, 3.679013, 0.5164515
13.694794, 39.82308, 0.3312073, 3.850097, 6.447388, 12.64423, 0.1000706, 2.663, 1.532099, 0.4299521, 14.4196, 3.117215, 3.481673, 0.4911621
13.794756, 42.84416, 0.3162886, 6.416911, 8.463749, 12.02894, 0.09513231, 2.548025, 1.733283, 0.4073192, 15.92455, 4.293257, 3.294919, 0.467111
13.894718, 41.0114, 0.3020419, 6.097402, 8.005939, 11.44359, 0.09043767, 2.438015, 1.649629, 0.3858778, 15.1569, 4.038789, 3.118183, 0.4442376
13.99468, 39.25704, 0.2884369, 5.793801, 7.572894, 10.88672, 0.08597471, 2.332754, 1.570013, 0.365565, 14.42626, 3.799404, 2.950926, 0.4224842
14.094642, 37.57773, 0.2754447, 5.505318, 7.163271, 10.35695, 0.08173199, 2.232037, 1.49424, 0.3463215, 14.48561, 3.574208, 2.792641, 0.4017961
14.194604, 35.97025, 0.2630377, 5.231198, 6.775806, 9.852967, 0.07769864, 2.135669, 1.422124, 0.328091, 14.13589, 5.628346, 2.642846, 0.382121
14.294566, 45.05631, 0.2511896, 5.413113, 7.0338, 9.373505, 0.07386433, 2.043462, 1.353488, 0.3108201, 15.62425, 5.294745, 2.501086, 0.3634094
14.394528, 43.12892, 0.2398752, 5.143584, 6.653337, 8.917374, 0.07021924, 1.955236, 1.288165, 0.2944584, 14.87108, 4.980918, 2.616652, 0.345614
14.49449, 42.21138, 0.2290704, 6.185867, 6.293454, 8.483438, 0.06675404, 1.870819, 1.225994, 5.111078, 14.15422, 4.685692, 4.218805, 0.3286901
